"ride_id","team_id","miles","ride_date","mode","golden_spoke"
"1","85","12","2026-05-01 08:16:50","Stationary_Bike","no"
"2","68","34","2026-05-01 08:51:48","Bike","no"
"3","75","4","2026-05-01 10:03:21","Bike","no"
"4","102","88","2026-05-01 13:00:46","Bike","no"
"5","69","27.2","2026-05-01 20:51:23","E_Bike","no"
"6","102","35","2026-05-02 13:26:39","Bike","maybe"
"7","70","11","2026-05-02 14:53:35","Bike","no"
"8","69","4","2026-05-02 15:01:08","E_Bike","no"
"9","69","4","2026-05-02 15:01:14","E_Bike","no"
"10","89","2","2026-05-02 15:41:50","E_Bike","no"
"11","69","14","2026-05-02 18:48:32","E_Bike","no"
"12","71","3","2026-05-02 19:22:56","Walk_Run","no"
"13","100","12.6","2026-05-03 08:03:36","E_Bike","no"
"14","71","5","2026-05-03 11:31:47","Walk_Run","no"
"15","102","79","2026-05-03 13:12:53","Bike","no"
"16","70","11","2026-05-03 15:56:08","Bike","no"
"17","70","8","2026-05-03 15:56:43","Bike","no"
"18","72","5","2026-05-04 06:53:37","Stationary_Bike","no"
"19","103","5","2026-05-04 09:01:26","Walk_Run","no"
"20","103","6","2026-05-04 09:01:48","Walk_Run","no"
"21","98","4.5","2026-05-04 09:34:39","Bike","no"
"22","98","11","2026-05-04 09:35:58","Bike","no"
"23","68","1","2026-05-04 11:17:25","Bike","no"
"24","68","1","2026-05-04 11:17:29","Bike","no"
"25","68","34","2026-05-04 11:17:33","Bike","no"
"26","75","4","2026-05-04 12:27:20","Bike","no"
"27","75","8","2026-05-04 12:27:35","Bike","no"
"28","77","20","2026-05-04 13:19:46","Bike","no"
"29","77","2","2026-05-04 13:20:30","Walk_Run","no"
"30","77","3","2026-05-04 13:21:16","E_Bike","no"
"31","76","28","2026-05-04 21:34:28","Bike","no"
"32","76","3","2026-05-04 21:36:09","Walk_Run","no"
"33","71","4","2026-05-05 05:38:10","Walk_Run","no"
"34","72","4","2026-05-05 07:22:10","Bike","no"
"35","77","1","2026-05-05 07:47:20","Bike","no"
"36","85","4.5","2026-05-05 08:23:31","Walk_Run","no"
"37","74","11","2026-05-05 08:45:00","Bike","no"
"38","74","11","2026-05-05 08:45:08","Bike","no"
"39","74","2","2026-05-05 08:45:11","Bike","no"
