"team_id","name"
"64","Andy Zhen Forests"
"65","Bennionville Bobcats"
"66","Bentown Tippers"
"68","Billville Jovyans"
"69","Bjornstad Bears"
"70","Byron Bay Headlands"
"71","Chandler Bings"
"72","Daytona Beach Boys"
"73","Dahlberg Dall Sheep"
"74","Grandberg Fir Peaks"
"75","Florence Nightingales"
"76","Gruyère Grinders"
"77","Hughville Wagoneers"
"79","Jorlette Coordinators"
"80","Knowl Town Hilltoppers"
"81","Lawless Mappers"
"82","Madsburg Avocados"
"83","Marbraska Whitings"
"84","Megtown Senders"
"85","Mirandaville Mallards"
"88","Pearsonville Felines"
"89","Joshmont Jackalopes"
"91","Rosieville Riveters"
"92","Sudsville Swimmers"
"93","Timtown Trekkers"
"95","Wellsville Kakuros"
"98","Nardonia Stentors"
"99","DeSeelhorst Dragons"
"100","Pukarville Treasurers"
"101","Kingland Royals"
"102","Philly Joel"
"103","Aguilera Ascent"
